"","level","Overall"
"n","","12961"
"Age (mean (SD))","","44.35 (12.71)"
"age_group (%)","0-17","   25 ( 0.2) "
"","18-24","  684 ( 5.3) "
"","25-34"," 2661 (20.5) "
"","35-44"," 3201 (24.7) "
"","45-54"," 3138 (24.2) "
"","55-64"," 2621 (20.2) "
"","65+","  631 ( 4.9) "
"Sex_clean (%)","Male"," 9570 (73.9) "
"","Female"," 3380 (26.1) "
"Race_clean (%)","White","10804 (84.2) "
"","Black"," 1837 (14.3) "
"","Asian","   87 ( 0.7) "
"","Native American","    2 ( 0.0) "
"","Other","  103 ( 0.8) "
